relative_path,profile_index,profile_date,prediction_date,time_difference_days,latitude,longitude,data_mode,depth_metres_prototype,argo_temperature_c,oceanembed_temperature_c
csio/2902765/profiles/D2902765_161.nc,0,2024-06-27,2024-06-27,0,11.558,86.314,D,500.0,10.116666439827505,9.727908559814454
csio/2902765/profiles/D2902765_161.nc,0,2024-06-27,2024-06-27,0,11.558,86.314,D,700.0,8.737578060477528,8.413676119995118
csio/2902765/profiles/D2902765_161.nc,0,2024-06-27,2024-06-27,0,11.558,86.314,D,1000.0,6.850525883553302,6.812331537597657
csio/2902766/profiles/D2902766_163.nc,0,2024-06-10,2024-06-10,0,15.431,89.32,D,5.0,29.83099937438965,29.980715210266112
csio/2902766/profiles/D2902766_163.nc,0,2024-06-10,2024-06-10,0,15.431,89.32,D,10.0,29.829103864534822,29.893182252197263
csio/2902766/profiles/D2902766_163.nc,0,2024-06-10,2024-06-10,0,15.431,89.32,D,20.0,29.747306947952143,29.718118251037595
csio/2902766/profiles/D2902766_163.nc,0,2024-06-10,2024-06-10,0,15.431,89.32,D,30.0,28.772582076773123,29.529462079772948
csio/2902766/profiles/D2902766_163.nc,0,2024-06-10,2024-06-10,0,15.431,89.32,D,50.0,27.329529660220675,28.829274879150375
csio/2902766/profiles/D2902766_163.nc,0,2024-06-10,2024-06-10,0,15.431,89.32,D,75.0,24.647187495062138,26.04068672760006
csio/2902766/profiles/D2902766_163.nc,0,2024-06-10,2024-06-10,0,15.431,89.32,D,100.0,21.252720365600545,22.224957317199674
csio/2902766/profiles/D2902766_163.nc,0,2024-06-10,2024-06-10,0,15.431,89.32,D,125.0,19.01168727576745,19.253105928955055
csio/2902766/profiles/D2902766_163.nc,0,2024-06-10,2024-06-10,0,15.431,89.32,D,150.0,16.391613751656294,17.291637371215806
csio/2902766/profiles/D2902766_163.nc,0,2024-06-10,2024-06-10,0,15.431,89.32,D,200.0,13.632941980181393,14.538323838958739
csio/2902766/profiles/D2902766_163.nc,0,2024-06-10,2024-06-10,0,15.431,89.32,D,300.0,11.55003548116102,12.428158343200682
csio/2902766/profiles/D2902766_163.nc,0,2024-06-10,2024-06-10,0,15.431,89.32,D,500.0,9.945645417075452,10.079291598815916
csio/2902766/profiles/D2902766_163.nc,0,2024-06-10,2024-06-10,0,15.431,89.32,D,700.0,8.650764926386923,8.759690519409176
csio/2902766/profiles/D2902766_163.nc,0,2024-06-10,2024-06-10,0,15.431,89.32,D,1000.0,6.882217395344601,7.150548959045408
csio/2902766/profiles/D2902766_164.nc,0,2024-06-19,2024-06-19,0,15.886,89.069,D,5.0,29.583799743842974,29.630669111022954
csio/2902766/profiles/D2902766_164.nc,0,2024-06-19,2024-06-19,0,15.886,89.069,D,10.0,29.585599327469026,29.54327938684082
csio/2902766/profiles/D2902766_164.nc,0,2024-06-19,2024-06-19,0,15.886,89.069,D,20.0,29.578244066572992,29.36850160876465
csio/2902766/profiles/D2902766_164.nc,0,2024-06-19,2024-06-19,0,15.886,89.069,D,30.0,29.050989836129087,29.193721290649414
csio/2902766/profiles/D2902766_164.nc,0,2024-06-19,2024-06-19,0,15.886,89.069,D,50.0,26.320444889702447,28.73062042053223
csio/2902766/profiles/D2902766_164.nc,0,2024-06-19,2024-06-19,0,15.886,89.069,D,75.0,22.684349740880343,26.749485210144048
csio/2902766/profiles/D2902766_164.nc,0,2024-06-19,2024-06-19,0,15.886,89.069,D,100.0,19.35750543690859,23.0592381447754
csio/2902766/profiles/D2902766_164.nc,0,2024-06-19,2024-06-19,0,15.886,89.069,D,125.0,16.90517750257103,19.767370037902836
